	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
68	Winnebago Warrior	Dead Kennedys	Jello Biafra, East Bay Ray, Klaus Flouride, 6025, D.H. Peligro	Plastic Surgery Disasters/In God We Trust Inc.		Alternative & Punk	3105051	129	1.0	1.0	9.0	22.0	1982.0	5/8/10, 4:13 PM	5/8/10, 4:13 PM	192	44100		MPEG audio file			2.0	11/30/13, 2:21 AM			60.0
69	Working On The Highway	Bruce Springsteen	Bruce Springsteen	Born In The U.S.A.		Rock	3179987	195	1.0	1.0	4.0	12.0	1984.0	12/28/06, 1:41 AM	7/3/08, 10:06 PM	128	44100		AAC audio file			1.0	3/22/14, 9:54 PM			60.0
70	Take 5, D.	Minutemen		Double Nickels On The Dime		Punk	4004554	99			21.0		1984.0	5/30/12, 6:58 AM	6/2/12, 4:39 PM	320	44100		MPEG audio file					1.0	11/2/13, 7:52 PM	60.0
71	Crazy For You	Madonna	John Bettis & Jon Lind	The Immaculate Collection		Pop	3661595	225	1.0	1.0	6.0	17.0	1985.0	6/7/05, 7:59 PM	7/3/08, 10:09 PM	128	44100		AAC audio file							60.0
72	02 Yaad-e-Nabi Ka Gulshan Menka	Nusrat Fateh Ali Khan		Qawwal and Party Volume 1		world	14801087	462					1986.0	11/22/09, 5:14 PM	5/22/10, 1:13 AM	256	44100		MPEG audio file			2.0	6/4/14, 7:32 PM			60.0
73	In Your Eyes	Peter Gabriel	Anderson,Laurie/Gabriel,Peter	So		Rock	5310989	327	1.0	1.0	9.0	9.0	1986.0	1/13/07, 11:42 AM	7/3/08, 10:09 PM	128	44100		AAC audio file							60.0
74	Who's Driving Your Plane?	The Rolling Stones		Singles Collection: The London Years (Disc 2)		Rock	3133741	192	2.0	3.0	10.0	20.0	1986.0	5/5/05, 10:19 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	10/10/08, 1:43 AM			60.0
75	It's So Easy	Guns N' Roses	West Arkeen	Appetite For Destruction		Metal	3276011	202	1.0	1.0	2.0	12.0	1987.0	5/9/05, 8:48 PM	7/3/08, 10:08 PM	128	44100		AAC audio file			2.0	1/8/13, 7:30 PM			60.0
76	8 Ball (Remix)	N.W.A.	Ice Cube	Straight Outta Compton		Hip-Hop	4746827	292	1.0	1.0	6.0	17.0	1988.0	6/4/07, 2:31 PM	7/3/08, 10:09 PM	128	44100		AAC audio file							60.0
77	Love Shack	The B-52's		Cosmic Thing		Pop	5213482	321	1.0	1.0	4.0	10.0	1989.0	11/1/06, 8:36 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			1.0	12/9/08, 2:42 AM			60.0
78	Shooting Star	Bob Dylan	Dylan	Oh Mercy		Folk	3128112	193	1.0	1.0	10.0	10.0	1989.0	10/26/07, 3:15 PM	12/9/08, 3:30 PM	128	44100		AAC audio file							60.0
79	Blue Dress	Depeche Mode		Violator		Pop	5544210	341	1.0	1.0	8.0	9.0	1989.0	10/12/06, 3:10 PM	7/3/08, 10:07 PM	128	44100		AAC audio file							60.0
80	Black Cat	Janet Jackson	Jackson [Janet]	Janet Jackson's Rhythm Nation 1814		R&B	4711342	290	1.0	1.0	16.0	20.0	1989.0	12/25/06, 8:12 AM	7/3/08, 10:08 PM	128	44100		AAC audio file							60.0
81	Good Time Boys	Red Hot Chili Peppers	Red Hot Chili Peppers	Mother's Milk		Alternative & Punk	4871379	302	1.0	1.0	1.0	13.0	1989.0	12/27/06, 9:04 PM	7/3/08, 10:09 PM	128	44100		AAC audio file			1.0	8/2/12, 8:53 PM			60.0
82	Every Kinda People	Robert Palmer	A. Fraser	Addictions, Vol. 1		Pop	3324557	204	1.0	1.0	10.0	13.0	1989.0	5/9/05, 8:54 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
83	The Vibes Is Right	Barrington Levy	Barrington Levy	Broader Than Broadway		Reggae	7250998	258			7.0		1990.0	1/3/08, 7:37 AM	7/3/08, 10:06 PM	224	44100		MPEG audio file			1.0	9/11/12, 1:03 AM			60.0
84	Chocolate Cake	Crowded House		Woodface		Rock	6203177	242			1.0		1991.0	1/3/08, 4:30 PM	7/3/08, 10:07 PM	204	44100		MPEG audio file		ÜberStandard - UberNet.org					60.0
85	Fall At Your Feet	Crowded House		Woodface		Rock	4384464	198			3.0		1991.0	1/3/08, 4:21 PM	7/3/08, 10:07 PM	176	44100		MPEG audio file		ÜberStandard - UberNet.org	1.0	8/11/12, 5:23 PM			60.0
86	Van	Descendents		Somery		Punk	4352305	181			11.0		1991.0	10/7/07, 9:53 PM	2/7/09, 9:48 PM	192	44100		MPEG audio file		From Warezqueens.com					60.0
87	Suck My Kiss	Red Hot Chili Peppers	Red Hot Chili Peppers	Blood Sugar Sex Magik		Funk	3528791	217	1.0	1.0	5.0	17.0	1991.0	5/9/05, 8:59 PM	7/3/08, 10:09 PM	128	44100		AAC audio file							60.0
88	As We Used To Sing	Sonny Sharrock	Sonny Sharrock	Ask The Ages		Jazz	15335332	452	1.0	1.0	4.0	6.0	1991.0	4/19/11, 3:08 PM	5/4/11, 7:13 PM	271	44100		MPEG audio file							60.0
89	Es wird Regen geben	Gewinnt		Die Fantastischen Vier		Dance	3504218	215	1.0	1.0	8.0	18.0	1992.0	2/11/09, 9:16 PM	7/3/08, 10:08 PM	128	44100		AAC audio file							60.0
90	KRS-One	Sublime		40 Oz. To Freedom		Reggae	2356316	143	1.0	1.0	20.0	22.0	1992.0	5/9/05, 8:56 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	6/11/12, 11:21 AM	1.0	7/30/08, 1:48 AM	60.0
91	I've Been Missing You	Archie Bell And The Drells		Tightening It Up - The Best Of		Motown	9536229	238			19.0	20.0	1994.0	3/11/14, 5:36 PM	1/10/09, 7:24 AM	320	44100		MPEG audio file		freedbID : 12103514					60.0
92	Poles Apart	Pink Floyd	David Gilmour	The Division Bell		Rock	6872150	424	1.0	1.0	3.0	11.0	1994.0	1/7/07, 8:34 PM	7/3/08, 10:09 PM	128	44100		AAC audio file					1.0	12/8/08, 4:06 PM	60.0
93	Deep Kick	Red Hot Chili Peppers	Anthony Kiedis, Flea, Dave Navarro and Chad Smith	One Hot Minute		Alternative & Punk	6384622	393	1.0	1.0	3.0	13.0	1995.0	12/27/06, 9:30 PM	7/3/08, 10:09 PM	128	44100		AAC audio file			1.0	12/25/12, 8:57 PM			60.0
94	Walkabout	Red Hot Chili Peppers	Anthony Kiedis, Flea, Dave Navarro and Chad Smith	One Hot Minute		Alternative & Punk	4979828	307	1.0	1.0	8.0	13.0	1995.0	12/27/06, 9:31 PM	7/3/08, 10:09 PM	128	44100		AAC audio file							60.0
95	Supreme Dub	Augustus Pablo Meets King Tubby's		In Roots Vibes		Dub	5857126	192			3.0		1996.0	10/9/07, 12:39 PM	7/3/08, 10:06 PM	243	44100		MPEG audio file			1.0	8/12/12, 11:10 AM			60.0
96	Dublin In Vigo	The Chieftains		Santiago (Pilgrimage To Santiago)		Irish Celtic	6832128	426			15.0		1996.0	3/11/14, 5:52 PM	2/9/09, 5:04 PM	128	44100		MPEG audio file			1.0	2/28/14, 6:59 PM			60.0
97	We Burn	Helloween		The Time Of The Oath		Metal	2963927	186	1.0	1.0	1.0	12.0	1996.0	3/25/08, 8:29 PM	1/22/09, 7:59 PM	128	44100		AAC audio file							60.0
98	If You Could Only See	Tonic		Lemon Parade		Pop	4275641	263			3.0	12.0	1996.0	5/9/05, 8:56 PM	7/3/08, 10:11 PM	128	44100		AAC audio file							60.0
99	Josephine	The Wallflowers	The Wallflowers	Bringing Down The Horse		Rock	5007072	308	1.0	1.0	8.0	11.0	1996.0	5/7/05, 8:12 PM	1/21/09, 7:21 PM	128	44100		AAC audio file					1.0	1/8/14, 6:35 PM	60.0
